EU group,Late(Y/N),,EU group,Late(count),OnTime(count),Late(percentage),OnTime(percentage)
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
RE,N,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,Y,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
S&D,N,,,,,,
The Left,Y,,,,,,
The Left,Y,,,,,,
The Left,Y,,,,,,
The Left,N,,,,,,
The Left,N,,,,,,
The Left,N,,,,,,
The Left,N,,,,,,
